Engagement	Location	Date	Result	Side 1	Leaders 1	Strength 1	Casualties 1	Side 2	Leaders 2	Strength 2	Casualties 2	Wikipedia Link	lat	lon
Battle of Beda Fomm	Cyrenaica, Libya	6–7 February 1941	British victory&lt;!--FF weren't a country so it wasn't an Allied victory. Other countries like Australia weren't sovereign states--&gt;	{{flagicon|UK}}	Archibald Wavell Richard O'Connor Michael O'Moore Creagh&lt;!--Pls read Wikipedia:Manual of Style/Icons#Icons|Icons on when not to add flags--&gt;	Western Desert Force (XIII Corps (United Kingdom)|XIII Corps from January 1941)	part of 1,9289 December 1940 – 9 February 1941	{{flagicon|Italy|1861}}	{{KIA}}	Tenth Army (Italy)|10th Army	25000	https://en.wikipedia.org/wiki/Battle_of_Beda_Fomm	32.0748793	20.0746183
Operation Sonnenblume	Cyrenaica, Libya	6 February – 25 May 1941	Axis victory	{{plainlist|* |flagcountry|Nazi Germany|1935|* |flagcountry|Kingdom of Italy}}	{{plainlist|*  Erwin Rommel*  Italo Gariboldi}}	{{plainlist|* elements of 2 German divisions* elements of 5 Italian divisions}}	103–107 tanks (includes damaged and returned to service)	{{plainlist |* |flag|United Kingdom|** |flag|British Raj|* |flag|Australia|}}	{{plainlist|*  Archibald Wavell, 1st Earl Wavell|Archibald Wavell*  Philip Neame |POW|}}	{{plainlist|* 1 division* 3 brigades* 1 armoured brigade (understrength)}}	{{plainlist|* 1,760 POWs* |circa|100| percent tank losses}}	https://en.wikipedia.org/wiki/Operation_Sonnenblume	32.0748793	20.0746183
Siege of Tobruk	Tobruk, Italian Libya|Libya	10 April – 27 November 1941	Allied victory&lt;!--see Template:Infobox military conflict for criteria--&gt;	{{flag|United Kingdom}}	{{flagicon|Australia}}	27000	5989	{{flagicon|Nazi Germany}}	{{flagicon|Nazi Germany}}	35000	12,29674–150 aircraft	https://en.wikipedia.org/wiki/Siege_of_Tobruk	32.0434	23.5714
Bardia raid	Bardia, Cyrenaica	19/20 April 1941	Allied victory	{{flag|United Kingdom}}	{{flagicon|UK}}	{{HMS|Glengyle|6}}	1 killed70 captured	{{flag|Nazi Germany|name|=|Germany}}	{{flagicon|Nazi Germany}}	Unknown	1 artillery battery destroyed1 supply dump destroyed	https://en.wikipedia.org/wiki/Bardia_raid	31.46	25.06
Twin Pimples raid	Tobruk	17/18 July 1941	Allied victory	{{flag|United Kingdom}}	{{flagicon|UK}}	43 CommandosSmall detachment engineers	1 dead4 wounded	{{flagcountry|Kingdom of Italy}}	{{flagicon|Kingdom of Italy}}	Unknown	"1 ammunition dump and several mortars destroyed.200 dead (Italian claim).ref name=""Schofield""Schofield&lt;/ref&gt;"	https://en.wikipedia.org/wiki/Twin_Pimples_raid	32.0681759	23.941751
Operation Brevity	Egyptian and Libyan border	15–16 May 1941	Inconclusive	{{UK}}	{{flagicon|United Kingdom}}	3 infantry battalions53 tanks	206+ casualties5 tanks destroyed6 aircraft destroyed	{{flag|Nazi Germany|name|=|Germany}}	{{flagicon|Nazi Germany}}	Elements of several battalions30–50 tanks	605+ casualties3 tanks destroyed	https://en.wikipedia.org/wiki/Operation_Brevity	31.3451	25.0308
Operation Skorpion	Halfaya Pass, Egypt	26–27 May 1941	Axis victory	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	Infantry battalion and supporting arms	173 men12 guns5 Infantry tanks	File:Flag of Germany 1933.svg|23px Nazi Germany	{{flagicon|Germany|Nazi}}	''Kampfgruppe von Herff''		https://en.wikipedia.org/wiki/Operation_Skorpion	31.5	25.1916667
Operation Battleaxe	Cyrenaica, Libya	15–17 June 1941	Axis victory	{{UK}}	{{flagicon|United Kingdom}}	"{{efn|""90 cruisers and roughly 100 'I' tanks""|ref| name=""Playfair171""}}"	"{{efn|122 killed, 588 wounded and 259 missing|ref| name=""Playfair171""}}"	{{flag|Nazi Germany|name|=|Germany}}	{{flagicon|Nazi Germany}}	{{citation needed|date|=|June 2012}}	"{{efn|93 Germans killed, 350 wounded and 235 missing. Italian casualties are unknown; the British claimed to have captured 350 Italian prisoners during the battle but had to release them during their withdrawal.|ref| name=""Playfair171""}}"	https://en.wikipedia.org/wiki/Operation_Battleaxe	32.0748793	20.0746183
Operation Crusader	Egypt and Libya	18 November – 30 December 1941	Allied victory	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	"{{#tag:ref|XXX Corps had 477 tanks available, XIII Corps 135 tanks available and the Tobruk garrison a further 126. 339 of their tanks were various Cruiser tank|cruiser models, with 210 of them being the latest Crusader tank|A15 Crusader. 201 of the total number of tanks were Infantry tanks, the vast majority being Matilda II's. 173 of the total were Stuart tank|M3 Stuarts and the remaining 25 were other various light tanks.|ref| name=""Playfair30""|Playfair, p. 30.||group|=|note}}"	"{{#tag:ref|2,900 killed, 7,300 wounded and 7,500 missing. Casualties have been rounded by source due to underlying flaws with primary source data but cover all the serious fighting of November, December and the first half of January.|ref| name=""Playfair97""|group|=|note}}"	{{flagcountry|Nazi Germany}}	{{flagicon|Kingdom of Italy}}	"{{#tag:ref|65,000 German soldiers and 54,000 Italian.|ref| name=""Playfair97""|group|=|note}}"	"{{#tag:ref|14,600 German casualties broken down as follows: 1,100 killed, 3,400 wounded and 10,100 missing. 23,700 Italian casualties broken down as follows: 1,200 killed, 2,700 wounded and 19,800 missing. Casualties have been rounded by source due to underlying flaws with primary source data but cover all the serious fighting of November, December and the first half of January.|ref| name=""Playfair97""|group|=|note}}"	https://en.wikipedia.org/wiki/Operation_Crusader	30.5460692	31.2629414
First Battle of Bir el Gubi	Bir el Gubi, Libya	19 November 1941	Italian victory	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	150 tanks	42–52 tanks21 killed20+ wounded42 missing and prisoners	{{flagicon|Italy|1861}}	{{flagicon|Italy|1861}}	130 tanks	34 tanks25 killed 74 wounded83 missing	https://en.wikipedia.org/wiki/First_Battle_of_Bir_el_Gubi	31.533333	24.03333
Battle of Point 175	near Sidi Rezegh, Italian Libya|Libya	29 November – 1 December 1941	Italian victory	{{flagicon|Italy|1861}}	Mario Balotta	132nd Armoured Division Ariete|132nd Armoured Division ''Ariete'': 9,274 men	Operation Crusader: 5,707	{{flag|New Zealand}}	Bernard Freyberg, 1st Baron Freyberg|Bernard Freyberg	2nd Division (New Zealand)|2nd New Zealand Division: 20,000 men	Operation Crusader: 4,620	https://en.wikipedia.org/wiki/Battle_of_Point_175	31.4936	24.081
Second Battle of Bir el Gubi	Bir el Gubi, Libya	4–7 December 1941	Axis victory	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	XXX Corps (United Kingdom)|XXX British Corps -11th Indian Brigade around 3,000 menrefJohn Gooch. ''Decisive campaigns of the Second World War''. Chapter: The North African Campaign&lt;/ref&gt; -7th Armoured Division 14,964 menrefJohn Gooch. ''Decisive campaigns of the Second World War''. Chapter: The North African Campaign&lt;/ref&gt;22nd Guards Brigade  around 3,000 menrefMurphy, W. E. (1961). Fairbrother, Monty C., ed. The Relief of Tobruk. The Official History of New Zealand in the Second World War 1939&#8211;1945 (New Zealand Electronic Text Collection ed.). Wellington, NZ: War History Branch, Department of Internal Affaire, p. 483.&lt;/ref&gt;	300 killed250 wounded71 prisoners12 tanks	{{flagicon|Italy|1861}}	{{flagicon|Italy|1861}}	"136 Infantry Division Giovani Fascisti|136th ""Giovani Fascisti"" Regiment 1,454 men10 guns2 tanks and 12 tanketteslater reinforced by 3 armoured divisions"	60 killed117 wounded31 missing and prisonersrefRoggiero, Roberto: ''El Alamein'', Delta Editrice, 2007 p. 128&lt;/ref&gt;10 tankettes	https://en.wikipedia.org/wiki/Second_Battle_of_Bir_el_Gubi	31.533333	24.03333
Battle of Gazala	Gazala, near Tobruk, Libya	26 May – 21 June 1942 (25 days)	Axis victory	{{flagcountry|Nazi Germany}}	{{flagicon|Kingdom of Italy}}	90,000 men (50,000 German, 40,000 Italian)560 tanks (228 Italian)542 aircraft	German: 3,360 killed, wounded or capturedItalian: fewer than the Germans~400 tanks damaged or destroyed	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	110,000 men843 tanks604 aircraft	{{circa|32,000}}	https://en.wikipedia.org/wiki/Battle_of_Gazala	32.0843	23.2127
Battle of Bir Hakeim	Bir Hakeim, Libya	26 May – 11 June 1942	See ''Battle of Bir Hakeim#Aftermath|Aftermath'' section&lt;!--Please refer to the Template:Infobox military conflict guidance copied on the talk page before amending this category--&gt;	{{flag|Free French Forces}}	{{flagicon|Free French}}	3,703 men	141 killed  229 wounded  814 captured 53 guns  50 vehicles  110 aircraft	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	37,000 Axis troops	3,300 killed or wounded  227–845 captured  164 vehicles  49 aircraft	https://en.wikipedia.org/wiki/Battle_of_Bir_Hakeim	31.5938889	23.4808333
First Battle of El Alamein	El Alamein, Egypt	1–27 July 1942	See First Battle of El Alamein#Aftermath|''Aftermath'' section	{{flagicon|Nazi Germany}}	{{flagicon|Nazi Germany}}	{{efn|Reported strength on 30 June (55 German and 15 Italian tanks). An unknown number of tanks was also in repair workshops behind the front.}}	"10,000 killed or woundedref{{harvnb|Watson|2007|p=6}}&lt;/ref&gt;, 7,000 prisonersref{{harvnb|Barr||p=184}}&lt;/ref&gt;ref name=""CM589""{{harvnb|Mackenzie|1951|p=589}}&lt;/ref&gt;"	{{Flag|United Kingdom}}	{{flagicon|United Kingdom}}	{{efn|Strength at the frontline on 1 July. 902 tanks in repair workshops behind the front, of which 34 were serviceable and many unrepairable. }}	"13,250 casualtiesref name=""CM589"""	https://en.wikipedia.org/wiki/First_Battle_of_El_Alamein	30.82247	28.954309
Battle of Alam el Halfa	{{coord|30|40|N|29|10|E|type:event|display|=|inline,title}}	30 August – 5 September 1942	"British victoryref name=""Naveh149""Naveh (1997), p. 149&lt;/ref&gt;"	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	XIII Corps (United Kingdom)|XIII Corps (Eighth Army (United Kingdom)|Eighth Army): 4 divisions	"1,750 killed, wounded or capturedref name=""Watson14""68 tanksref name= ""Watson14""67 aircraftref name=""FR""Buffetaut pp. 90&#8211;91&lt;/ref&gt;"	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	Panzer Army Africa:6 divisions	"2,900 killed, wounded or capturedref name=""Watson14""Watson (2007), p. 14&lt;/ref&gt;49 tanksref name=""Watson14""36 aircraft60 gunsref name=""Watson14""400 transport vehiclesref name=""Watson14"""	https://en.wikipedia.org/wiki/Battle_of_Alam_el_Halfa	30.4	29.1
Second Battle of El Alamein	El Alamein, Kingdom of Egypt|Egypt	23 October – 11 November 1942	Allied victory	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	{{sfn|Buffetaut|1995|p|=|95}}	{{circa|500}}	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	{{sfn|Playfair|2004|p|=|30}}	{{circa|500}}	https://en.wikipedia.org/wiki/Second_Battle_of_El_Alamein	30.82247	28.954309
Battle of El Agheila	El Agheila, Libya	{{efn|There is a one-day difference in the dates in Rommel's memoirs and those of his rearguard commander, Friedrich August Freiherr von der Heydte|Friedrich von der Heydte and the contributor has tried to reconcile the two sources}}	Allied victory	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}			{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}			https://en.wikipedia.org/wiki/Battle_of_El_Agheila	30.26132	19.18885
Northern front, East Africa, 1940	Sudan border with Italian Eritrea and Ethiopia	10 June 1940 – 17 January 1941	British victory	{{flag|United Kingdom}}	William Platt			{{flagicon|Italy|1861}}	Luigi Frusci			https://en.wikipedia.org/wiki/Northern_front,_East_Africa,_1940	16	36
Italian conquest of British Somaliland	British Somaliland	3–19 August 1940	Italian victory	{{flag|British Empire}}	Alfred Reade Godwin-Austen|Reade Godwin-Austen Arthur Reginald Chater|Arthur Chater	"{{efn|According to Wavell the total casualties of the British forces (including Indian and African troops) of 258 amounted to ""...little more than five per cent of the force.""|sfn|Wavell|1946|p|=|2,725| This implies a total force of about 5,000. Molinari's book estimates the British forces at 11,000 but it can normally be assumed that Italian sources are more accurate for Italian forces and British sources for British forces.|sfn|Molinari|2007|p|=|115}}"	{{sfn|Wavell|1946|p|=|2,725}}	{{flagicon|Italy|1861}}	Guglielmo Nasi Carlo De Simone	{{sfn|Molinari|2007|p|=|115}}	{{sfn|Stone|1998|nopp|=|y}}	https://en.wikipedia.org/wiki/Italian_conquest_of_British_Somaliland	9.33	44.04
Battle of Tug Argan	British Somaliland	11–15 August 1940	Italian victory	{{flag|British Empire}}	{{flagicon|British Empire}}	5,000 regular and colonial infantry	"38 killed 102 wounded120 missing7 aircraft destroyed5 artillery pieces captured5 mortars capturedref name="":0""Stone 1998.&lt;/ref&gt;"	{{flagicon|Italy|1861}}	{{flagicon|Italy|1861}}	At least 24,000 colonial troops with 5,000 Italian regulars	"465 killed1530 wounded34 missingref name="":0""Stone 1998.&lt;/ref&gt;"	https://en.wikipedia.org/wiki/Battle_of_Tug_Argan	9.33	44.04
Battle of Keren	Eritrea	5 February – 1 April 1941	Allied victory	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	13000	536 killed and 3,229 wounded	{{flagcountry|Kingdom of Italy}}	{{KIA}}	23000	Italian: 3,000 killed and 4,500 woundedEritrean Ascari: 9,000 killed	https://en.wikipedia.org/wiki/Battle_of_Keren	15.4636	38.274
Battle of Culqualber	Culqualber Pass, Ethiopia	6 August – 21 November 1941	Allied victory	{{flag|United Kingdom}}	Colin Frederick Blackden	{{circa|100}}	Unknown	{{flagicon|Italy|1861}}	{{POW}}	2,900 men2 aircraft	1,003 killed (513 Italian and 490 Askari)1,900 prisoners including 804 wounded (404 Italian and 400 Askari)about 100 civilian deadrefAbout 200 wives and relatives of the Ascari colonial soldiers had followed them in Culqualber, and about one hundred of them were killed during the battle and bombing.&lt;/ref&gt;refhttp://www.ilcornodafrica.it/st-melecaculqualber.pdf La battaglia di Culqualber.]&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_of_Culqualber	12.36	37.28
Battle of Gondar	Gondar, Ethiopia	13–27 November 1941	Allied victory	{{flagcountry|Kingdom of Italy}}	{{flagicon|Kingdom of Italy}}	41,00070 guns1 aircraft	{{page needed|date|=|November 2017}}	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	{{sfn|Playfair|2004|p|=|320}}	{{sfn|Playfair|2004|p|=|321}}	https://en.wikipedia.org/wiki/Battle_of_Gondar	12.36	37.28
Battle of Dakar	Off Dakar, French West Africa	23–25 September 1940	Vichy French victory	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	2 battleships, 5 cruisers, 10 destroyers, 1 aircraft carrier	1 battleship crippled, 1 battleship damaged,  2 cruisers damaged, 1 armed trawler sunk, 6 torpedo planes lost	{{flag|Vichy France}}	{{flagicon|Vichy France}}	1 battleship, 2 cruisers, 4 destroyers , 3 submarines, coastal emplacements	1 destroyer grounded, 2 submarines sunk, 1 battleship damaged, Danish freighter MS ''Tacoma'' sunkref name=denref name=lise	https://en.wikipedia.org/wiki/Battle_of_Dakar	14.4134	-17.2648
Battle of Gabon	Gabon, French Equatorial Africa	7–12 November 1940	Allied victory	{{flagicon|Free French}}	{{flagicon|Free French}}		Unknown	{{flagicon|France}}	{{KIA}}		Unknown human losses, 1 aviso destroyed, 1 submarine scuttled	https://en.wikipedia.org/wiki/Battle_of_Gabon	0.23	9.27
